country,year,imf_debt_gdp
CHL,2001,14.348084
CHL,2002,15.04533
CHL,2003,12.573018
CHL,2004,10.314066
CHL,2005,7.0396203
CHL,2006,5.0223975
CHL,2007,3.9012603
CHL,2008,4.9159886
CHL,2009,5.8449262
CHL,2010,8.6073274
CHL,2011,11.126889
CHL,2012,11.939073
CHL,2013,12.784064
CHL,2014,15.019748
CHL,2015,17.37466
CHL,2016,21.100504
CHL,2017,23.651639
CHL,2018,25.798028
CHL,2019,28.329505
CHL,2020,32.380102
CHL,2021,36.447858
CHL,2022,37.907331
CHL,2023,39.41519
CHL,2024,41.650002
CMR,1990,40.969986
CMR,1991,43.460042
CMR,1992,53.705945
CMR,1993,53.470005
CMR,1994,90.259471
CMR,1995,106.48928
CMR,1996,94.219736
CMR,1998,67.759006
CMR,1999,68.370094
CMR,2000,75.881285
CMR,2001,62.181785
CMR,2002,56.600057
CMR,2003,51.520638
CMR,2004,51.728419
CMR,2005,43.843273
CMR,2006,18.353767
CMR,2007,13.804404
CMR,2008,11.153023
CMR,2009,11.255649
CMR,2010,13.989144
CMR,2011,15.046997
CMR,2012,14.87413
CMR,2013,17.471505
CMR,2014,20.707188
CMR,2015,25.825967
CMR,2016,26.179822
CMR,2017,29.708957
CMR,2018,33.197725
CMR,2019,36.276556
CMR,2020,39.39405
CMR,2021,41.639583
CMR,2022,40.624423
CMR,2023,38.892518
CMR,2024,39.54058
COL,1990,16.624575
COL,1991,14.825399
COL,1992,16.454689
COL,1993,14.317186
COL,1994,12.346129
COL,1995,8.7962073
COL,1996,9.2562642
COL,1997,11.738506
COL,1998,13.68418
COL,1999,20.309544
COL,2000,26.44774
COL,2001,31.048125
COL,2002,37.107583
COL,2003,36.633503
COL,2004,34.966253
COL,2005,32.70559
COL,2006,31.026188
COL,2007,27.219821
COL,2008,26.132879
COL,2009,28.880841
COL,2010,29.518725
COL,2011,29.089045
COL,2012,27.32829
COL,2013,29.569312
COL,2014,32.884998
COL,2015,37.299262
COL,2016,37.375775
COL,2017,38.292192
COL,2018,41.362183
COL,2019,40.678642
COL,2020,52.377017
COL,2021,50.94822
COL,2022,48.490326
COL,2023,43.890346
COM,1990,108.13328
COM,1991,103.86701
COM,1992,100.99355
COM,1993,95.743672
COM,1994,87.777617
COM,1995,77.697536
COM,1996,75.352182
COM,1997,70.884522
COM,1998,69.361846
COM,1999,64.479679
COM,2000,60.70598
COM,2001,52.960041
COM,2002,48.167688
COM,2003,44.446886
COM,2004,42.397301
COM,2005,39.894156
COM,2006,38.478977
COM,2007,35.615571
COM,2008,33.217032
COM,2009,31.729574
COM,2010,30.458622
COM,2011,27.668203
COM,2012,25.07316
COM,2013,10.277146
COM,2014,11.823493
COM,2015,14.274072
COM,2016,16.161572
COM,2017,18.934437
COM,2018,17.021874
COM,2019,21.228836
COM,2020,24.315491
COM,2021,26.275781
COM,2022,28.184026
COM,2023,28.652363
COM,2024,30.823533
CPV,1990,38.664399
CPV,1991,45.496497
CPV,1992,61.269998
CPV,1993,57.008
CPV,1994,73.386341
CPV,1995,74.265484
CPV,1996,85.739682
CPV,1997,79.322776
CPV,1998,72.938177
CPV,1999,66.356571
CPV,2000,71.943237
CPV,2001,62.158384
CPV,2002,64.658382
CPV,2003,65.581973
CPV,2004,67.847108
CPV,2005,66.712756
CPV,2006,66.202999
CPV,2007,59.60079
CPV,2008,57.49332
CPV,2009,58.788347
CPV,2010,73.515234
CPV,2011,71.559557
CPV,2012,82.937292
CPV,2013,93.475986
CPV,2014,105.5893
CPV,2015,115.57081
CPV,2016,115.40322
CPV,2017,112.75868
CPV,2018,112.00144
CPV,2019,109.41948
CPV,2020,143.78266
CPV,2021,149.06311
CPV,2022,124.02623
CPV,2023,114.03915
CPV,2024,113.74393
CRI,1990,18.543775
CRI,1991,28.364643
CRI,1992,23.321802
CRI,1993,24.433699
CRI,1994,26.974279
CRI,1995,29.058676
CRI,1996,33.685458
CRI,1997,30.559077
CRI,1998,40.69086
CRI,1999,38.983836
CRI,2000,38.850159
CRI,2001,39.643885
CRI,2002,41.437843
CRI,2003,40.565779
CRI,2004,41.001622
CRI,2005,37.320805
CRI,2006,33.036832
CRI,2007,26.975257
CRI,2008,24.007129
CRI,2009,25.994862
CRI,2010,28.084487
CRI,2011,29.503636
CRI,2012,33.753068
CRI,2013,35.090928
CRI,2014,37.480299
CRI,2015,39.774849
CRI,2016,43.78136
